Image Title,RBR,Threshold Minimum,Average Particle Size
18-43~s1-Sec1_T1-PVALB.tif,5,20,1
18-43~s1-Sec1_T10-GPR65.tif,5,16,1
18-43~s1-Sec1_T11-PIEZO2.tif,5,17,1
18-43~s1-Sec1_T12-CCKAR.tif,5,12,1
18-43~s1-Sec1_T2-NTSR1.tif,5,29,1
18-43~s1-Sec1_T3-PIEZO1.tif,5,25,1
18-43~s1-Sec1_T4-NPY2R.tif,5,21,1
18-43~s1-Sec1_T5-HTR3B.tif,5,20,1
18-43~s1-Sec1_T6-TRPV1.tif,5,21,1
18-43~s1-Sec1_T7-SCN1A.tif,5,18,1
18-43~s1-Sec1_T8-SCN10A.tif,5,15,1
18-43~s1-Sec1_T9-GLP1R.tif,5,22,1
18-43~s1-Sec2_T1-PVALB.tif,5,15,1
18-43~s1-Sec2_T10-GPR65.tif,5,34,1
18-43~s1-Sec2_T11-PIEZO2.tif,5,21,1
18-43~s1-Sec2_T12-CCKAR.tif,5,18,1
18-43~s1-Sec2_T2-NTSR1.tif,5,22,1
18-43~s1-Sec2_T3-PIEZO1.tif,5,22,1
18-43~s1-Sec2_T4-NPY2R.tif,5,21,1
18-43~s1-Sec2_T5-HTR3B.tif,5,21,1
18-43~s1-Sec2_T6-TRPV1.tif,5,19,1
18-43~s1-Sec2_T7-SCN1A.tif,5,23,1
18-43~s1-Sec2_T8-SCN10A.tif,5,12,1
18-43~s1-Sec2_T9-GLP1R.tif,5,21,1
18-44~s1-Sec3_T1-PVALB.tif,5,52,1
18-44~s1-Sec3_T10-GPR65.tif,5,38,1
18-44~s1-Sec3_T11-PIEZO2.tif,5,26,1
18-44~s1-Sec3_T12-CCKAR.tif,5,14,1
18-44~s1-Sec3_T2-NTSR1.tif,5,26,1
18-44~s1-Sec3_T3-PIEZO1.tif,5,54,1
18-44~s1-Sec3_T4-NPY2R.tif,5,26,1
18-44~s1-Sec3_T5-HTR3B.tif,5,20,1
18-44~s1-Sec3_T6-TRPV1.tif,5,22,1
18-44~s1-Sec3_T7-SCN1A.tif,5,45,1
18-44~s1-Sec3_T8-SCN10A.tif,5,18,1
18-44~s1-Sec3_T9-GLP1R.tif,5,30,1
18-44~s1-Sec4_T1-PVALB.tif,5,52,1
18-44~s1-Sec4_T10-GPR65.tif,5,28,1
18-44~s1-Sec4_T11-PIEZO2.tif,5,23,1
18-44~s1-Sec4_T12-CCKAR.tif,5,23,1
18-44~s1-Sec4_T2-NTSR1.tif,5,35,1
18-44~s1-Sec4_T3-PIEZO1.tif,5,34,1
18-44~s1-Sec4_T4-NPY2R.tif,5,14,1
18-44~s1-Sec4_T5-HTR3B.tif,5,31,1
18-44~s1-Sec4_T6-TRPV1.tif,5,32,1
18-44~s1-Sec4_T7-SCN1A.tif,5,20,1
18-44~s1-Sec4_T8-SCN10A.tif,5,23,1
18-44~s1-Sec4_T9-GLP1R.tif,5,35,1
18-55~s1-Sec1_T1-PVALB.tif,5,13,1
18-55~s1-Sec1_T10-GPR65.tif,5,29,1
18-55~s1-Sec1_T11-PIEZO2.tif,5,20,1
18-55~s1-Sec1_T12-CCKAR.tif,5,18,1
18-55~s1-Sec1_T2-NTSR1.tif,5,31,1
18-55~s1-Sec1_T3-PIEZO1.tif,5,16,1
18-55~s1-Sec1_T4-NPY2R.tif,5,20,1
18-55~s1-Sec1_T5-HTR3B.tif,5,19,1
18-55~s1-Sec1_T6-TRPV1.tif,5,17,1
18-55~s1-Sec1_T7-SCN1A.tif,5,25,1
18-55~s1-Sec1_T8-SCN10A.tif,5,16,1
18-55~s1-Sec1_T9-GLP1R.tif,5,41,1
18-55~s1-Sec2_T1-PVALB.tif,5,12,1
18-55~s1-Sec2_T10-GPR65.tif,5,23,1
18-55~s1-Sec2_T11-PIEZO2.tif,5,26,1
18-55~s1-Sec2_T12-CCKAR.tif,5,20,1
18-55~s1-Sec2_T2-NTSR1.tif,5,34,1
18-55~s1-Sec2_T3-PIEZO1.tif,5,18,1
18-55~s1-Sec2_T4-NPY2R.tif,5,18,1
18-55~s1-Sec2_T5-HTR3B.tif,5,20,1
18-55~s1-Sec2_T6-TRPV1.tif,5,19,1
18-55~s1-Sec2_T7-SCN1A.tif,5,25,1
18-55~s1-Sec2_T8-SCN10A.tif,5,15,1
18-55~s1-Sec2_T9-GLP1R.tif,5,23,1
18-56~s1-Sec3_T1-PVALB.tif,5,18,1
18-56~s1-Sec3_T10-GPR65.tif,5,24,1
18-56~s1-Sec3_T11-PIEZO2.tif,5,18,1
18-56~s1-Sec3_T12-CCKAR.tif,5,19,1
18-56~s1-Sec3_T2-NTSR1.tif,5,40,1
18-56~s1-Sec3_T3-PIEZO1.tif,5,28,1
18-56~s1-Sec3_T4-NPY2R.tif,5,26,1
18-56~s1-Sec3_T5-HTR3B.tif,5,23,1
18-56~s1-Sec3_T6-TRPV1.tif,5,30,1
18-56~s1-Sec3_T7-SCN1A.tif,5,21,1
18-56~s1-Sec3_T8-SCN10A.tif,5,16,1
18-56~s1-Sec3_T9-GLP1R.tif,5,22,1
18-56~s1-Sec4_T1-PVALB.tif,5,25,1
18-56~s1-Sec4_T10-GPR65.tif,5,35,1
18-56~s1-Sec4_T11-PIEZO2.tif,5,24,1
18-56~s1-Sec4_T12-CCKAR.tif,5,25,1
18-56~s1-Sec4_T2-NTSR1.tif,5,36,1
18-56~s1-Sec4_T3-PIEZO1.tif,5,28,1
18-56~s1-Sec4_T4-NPY2R.tif,5,28,1
18-56~s1-Sec4_T5-HTR3B.tif,5,26,1
18-56~s1-Sec4_T6-TRPV1.tif,5,29,1
18-56~s1-Sec4_T7-SCN1A.tif,5,32,1
18-56~s1-Sec4_T8-SCN10A.tif,5,17,1
18-56~s1-Sec4_T9-GLP1R.tif,5,36,1
